Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/23/2023,13:00,1.367,-,1.74
8/23/2023,14:00,2.242,-,2.5
8/23/2023,15:00,3.219,-,3.5
8/23/2023,16:00,4.158,-,4.53
8/23/2023,17:00,4.857,-,5.44
8/23/2023,18:00,5.105,-,5.76
8/23/2023,19:00,4.819,-,5.48
8/23/2023,20:00,4.062,-,4.75
8/23/2023,21:00,3.072,-,3.78
8/23/2023,22:00,2.134,-,2.85
8/23/2023,23:00,1.412,-,2.11
8/24/2023,0:00,1.059,-,1.74
8/24/2023,1:00,1.216,-,1.9
8/24/2023,2:00,1.786,-,2.29
8/24/2023,3:00,2.531,-,3.01
8/24/2023,4:00,3.301,-,3.82
8/24/2023,5:00,3.952,-,4.5
8/24/2023,6:00,4.279,-,4.96
8/24/2023,7:00,4.154,-,4.75
8/24/2023,8:00,3.584,-,4.17
8/24/2023,9:00,2.725,-,3.42
8/24/2023,10:00,1.854,-,2.56
8/24/2023,11:00,1.172,-,1.79
8/24/2023,12:00,0.805,-,1.47
8/24/2023,13:00,0.92,-,1.59
8/24/2023,14:00,1.535,-,2.16
8/24/2023,15:00,2.43,-,2.86
8/24/2023,16:00,3.403,-,3.77
8/24/2023,17:00,4.32,-,4.84
8/24/2023,18:00,4.976,-,5.56
8/24/2023,19:00,5.179,-,5.8
8/24/2023,20:00,4.859,-,5.4
8/24/2023,21:00,4.091,-,4.68
8/24/2023,22:00,3.113,-,3.65
8/24/2023,23:00,2.183,-,2.77
8/25/2023,0:00,1.456,-,1.97
8/25/2023,1:00,1.101,-,1.53
8/25/2023,2:00,1.251,-,1.67
8/25/2023,3:00,1.783,-,2.06
8/25/2023,4:00,2.473,-,2.67
8/25/2023,5:00,3.2,-,3.51
8/25/2023,6:00,3.817,-,4.22
8/25/2023,7:00,4.126,-,4.52
8/25/2023,8:00,4.008,-,4.5
8/25/2023,9:00,3.464,-,3.94
8/25/2023,10:00,2.649,-,3.16
8/25/2023,11:00,1.821,-,2.31
8/25/2023,12:00,1.158,-,1.67
8/25/2023,13:00,0.807,-,1.31
8/25/2023,14:00,0.949,-,1.66
8/25/2023,15:00,1.579,-,2.13
8/25/2023,16:00,2.476,-,2.9
8/25/2023,17:00,3.461,-,3.97
8/25/2023,18:00,4.403,-,4.79
8/25/2023,19:00,5.081,-,5.49
8/25/2023,20:00,5.305,-,5.75
8/25/2023,21:00,4.999,-,5.48
8/25/2023,22:00,4.234,-,4.78
8/25/2023,23:00,3.243,-,3.87
8/26/2023,0:00,2.27,-,2.72
8/26/2023,1:00,1.475,-,1.83
8/26/2023,2:00,1.067,-,1.42
8/26/2023,3:00,1.172,-,1.38
8/26/2023,4:00,1.654,-,1.84
8/26/2023,5:00,2.317,-,2.52
8/26/2023,6:00,3.057,-,3.36
8/26/2023,7:00,3.713,-,4.18
8/26/2023,8:00,4.075,-,4.6
8/26/2023,9:00,4.011,-,4.6
8/26/2023,10:00,3.507,-,4.07
8/26/2023,11:00,2.709,-,3.26
8/26/2023,12:00,1.864,-,2.42
8/26/2023,13:00,1.149,-,1.67
8/26/2023,14:00,0.749,-,1.23
8/26/2023,15:00,0.869,-,1.33
8/26/2023,16:00,1.489,-,1.91
8/26/2023,17:00,2.395,-,2.78
8/26/2023,18:00,3.434,-,3.95
8/26/2023,19:00,4.457,-,5.11
8/26/2023,20:00,5.219,-,5.97
8/26/2023,21:00,5.51,-,6.38
8/26/2023,22:00,5.235,-,6.13
8/26/2023,23:00,4.457,-,5.36
8/27/2023,0:00,3.412,-,4.24
8/27/2023,1:00,2.336,-,3.08
8/27/2023,2:00,1.424,-,2.09
8/27/2023,3:00,0.929,-,1.52
8/27/2023,4:00,0.978,-,1.54
8/27/2023,5:00,1.431,-,1.95
8/27/2023,6:00,2.12,-,2.67
8/27/2023,7:00,2.941,-,3.45
8/27/2023,8:00,3.701,-,4.34
8/27/2023,9:00,4.163,-,4.82
8/27/2023,10:00,4.169,-,4.89
8/27/2023,11:00,3.683,-,4.34
8/27/2023,12:00,2.854,-,3.51
8/27/2023,13:00,1.926,-,2.53
8/27/2023,14:00,1.094,-,1.6
8/27/2023,15:00,0.601,-,1.08
8/27/2023,16:00,0.677,-,1.26
8/27/2023,17:00,1.289,-,1.84
8/27/2023,18:00,2.236,-,2.76
8/27/2023,19:00,3.379,-,4.07
8/27/2023,20:00,4.532,-,5.31
8/27/2023,21:00,5.414,-,6.31
8/27/2023,22:00,5.786,-,6.78
8/27/2023,23:00,5.527,-,6.47
8/28/2023,0:00,4.7,-,5.6
8/28/2023,1:00,3.549,-,4.34
8/28/2023,2:00,2.324,-,3.12
8/28/2023,3:00,1.27,-,2.03
8/28/2023,4:00,0.689,-,1.29
8/28/2023,5:00,0.705,-,1.2
8/28/2023,6:00,1.176,-,1.69
8/28/2023,7:00,1.954,-,2.47
8/28/2023,8:00,2.915,-,3.47
8/28/2023,9:00,3.82,-,4.56
